1	Taakwaningani John Paaptaayesta aglaghluni kilgaanganun Judea-m, piinliqaq ungipaqimeng.
2	Whaten pikaq, “Avuteghqellusi taaqitek seghleghqenneghmeng, qayughllak Ataneghpagullgha Qilagem kaasaghtuumaaq.”
3	John-nguuq uuknaliqistem Isaiah-am akuzitkegkaa whaten piiqngami, “Kilgaani kina akilghuugaquq whaten: ‘Yataaghqiteggu Atanghem tuumkaghqaa, taklaghrukegsaghteggu igleghavigkaa!’”
4	John-em aatkii camel-em melqwaaneng ulimaaghet, meqameng tafsiluni, neqekluni locust-mengllu honey-mengllu.
5	Yuget aglaghtuutkat ellnganun Jerusalem-emengllu Judea-mengllu uvitanganengllu Kiiwem Jordan-em.
6	Seghleghqelleteng qayvighqenghatki, John-em paaptaayaaqegkangi Jordan-egni.
7	John-em esghaghluki Pharisees-elghutetlu Sadducees-elghutetlu tagilghiit ellminun paaptaayesqelluteng pikii, “Elpesi nemeghyani! Kitum anagesqisi Kiyaghneghem nanqigtelleghqaaneng kaannaqelghiimeng?
8	Sivuklusi pinitun pilleghpesigun ipapighqiteggu seghleghqelleghpesineng avuteghqelleghsi.
9	Whaten’ngam sumeghtaghaghpenasi, ‘Kiyaghneghem nanqiggnaanghitiinkut qayughllak kingunqiinkut Abraham-em.’ Ungipaatamsi Kiyaghneghem Abraham kingunengllaannayaghaa maaken uyghagneng!
10	Whaa maaten qalqalimayaqleggiinaghlluteng ayuqut uqfiget akwiitgun. Qamaglluteng uqfiget pinilghiimeng piitestinghilnguut kepluki, kenghegnun miluusaghqaagut.
11	Meghqun paaptaayeghiiqunga avuteghkegkanun seghleghqelleghmeggneng. Iwernga tagiyaghqam kingumneng paaptaayelleqiisi Agleghnalghiignengllu Taghneghagneng, keneghmengllu. Aghtughyaghqaanghiteghllagtuq whangamneng, repall talwa kamegkek tugumiiqepagningitagka.
12	Taana tagiyaghqaq nanqigtiyaqleggiinaaguq. Aafsaghqaqii pinilghiit yuget seghleghneng, katam piitesiighaghtem pekutamineng malliillghatun grain-et. Kagpagluki grain-et mallaq tamaana miluusaghqaqaa qaamyaghqaanghilnguugnun kenghegnun.”
13	Taagken Jesus Galilee-meng tagikaq Jordan-egnun, John-mun paaptaayesqelluni.
14	Iwernga John-em akuzinnaqutkegkaqsaqanga whaten, “Whanga elpek paaptaayeyaghqaqsaghaghpenga. Sangavek whangamnun tagizin?”
15	Iwernga Jesus-em pikaa, “Legan saaqsin paaptaayenga qayughllak tawaten pikumtung apeghiighlleqaghpung Kiyaghneghem piyukellgha.” Enkaam John-em paaptaayekaa.
16	Jesus paaptaayeyatni meghmeng aanegkaq. Taagken qilak qelpeghluni esghaqakek Kiyaghneghem Taghneghakek ukilghiik dove-etun ayuqlutek, enkaam ellngakun nalukak.
17	Taagken ma qilagmeng pikaq, “Unanguuq piniqegkaghllaka Ighneqa, efquqepigtaqa.”
 
