1	Taakwaningani Jesus apeghtughilaataqaq Naayvam Galilee-m esnengani. Elngaatall uglapiglleghhii yuuk tagilaghaateghllakaq ellnganun, repall angyamun uuglluni aqumegkaq, llaaghanwha yulghutet naayvam esnenganitkat.
2	Ungipaghaatetgun allaaghiinaghmeng apeghtuqii. Apeghtughitkelluku pikii,
3	“Nagatek! Piitesighaghta aglaghluni piitesiighaghvigminun
4	ifkaghquqaq piitutneng. Ilangi piitutet tekitkat tumetgun, enkaam qawaaget tagiluteng neghuqiit.
5	Ilangi piitutet tekitkat uyghagtuqakun sunapagilngughqun. Tawaninginaq piitkat, qayughllak sunanga ugmestaaghhaq.
6	Enkaam siqineq piisalghiimi maatneghan paneghtekii piinneghhat, akungellghitutmeggneng palirakegtekat.
7	Ilangi piitutet tekitkat sikughllugtuqakun, sikughlluget piisalghiimeng piitfigiqiit grain-et.
8	Naqamalla tamaakut tekitkat sunakegtakun piitestighllakat grain-meng, ilangi 30, ilangi 60, enkaam ilangi 100.”
9	Jesus-em taaqniqii whaten, “Sigutelgukufsi nagatusighqameng, nagatek!”
10	Taam kingunganeng Jesus ellnginaaghsan, qula maalghuk siipneqluku maligsaaghtengitallu ilangitallu tamaakut nagatkat aaptekaat ungipaghaatkegkaaneng.
11	Jesus-em pikii, “Elpesinun Kiyaghneghem liigikestaa talughngalghii ipapighqellgha Ataneghpagullghem. Sivunghani liitesimangisaghaa. Iwernga tamaakut iqitngalghiit Kiyaghneghem Ataneghpagullghaneng nagaqughaqut sameng tamaghhaaneng ungipaghaatetgun.
12	Enkaam ‘Esghaannaqaqut, esghaannaqaqut esghaategpenateng. Nagataqut, nagataqut liigikegpenateng. Pikaayaquyeng qiivnayaghtut Kiyaghneghmun, enkaam seghevunnayaghii.’”
13	Taagken Jesus-em aaptekii, “Taana ungipaghaan piitesighaghta liigikenghitestegguu? Natenmi liigiknaqesteki alngunak ungipaghaatet?
14	Piitesighaghta ifkaghqilghii piitutneng, Kiyaghneghem akuzitanganeng ungipaghtengatun ayuquq.
15	Ilangi yuget qellighllakastun tumestun ayuqut. Piitutet tekinneghata tumetgun qawaaget neghaqiit. Tawateghpigaq tamaakut yuget nagaquunneghata Kiyaghneghem akuzitanganeng tawaninginaq Tughneghaam puygustaqii.
16	Ilangi yuget uyghagtuqastun sunastun ayuqut. Akut uyghagtuqamelnguut asivapagigatut. Tamaakut yuget nagaquunneghmeggni Kiyaghneghem akuzitanganeng tawaninginaq tuguklighaqiit quyakusiqluki.
17	Iwernga ugpeqngwaaghigalkangit akuzitangi enkaam ugpellghit mulungigatut. Seghleliineghmeggni, nalighmeng amyuutkellengneghmeggni apalluqluku ugpeqilleghteng Kiyaghneghem akuzitanganeng tawaninginaq ugpeqinanighaqut.
18	Ilangi yuget sikughllugtuqastun sunastun ayuqut. Piitutet sikughllugtuqakun tekitkat nagungigatut, qayughllak sikughlluget piitfigighaqegkangit. Tamaakut yuget nagaquneghmegteki Kiyaghneghem akuzitangi qaatkigatiit,
19	qayughllak una unguvalleq nulqaaviighutkaqaat, teghhwaaghiitkaqaatlu aklungi, samengllu wata allgeghutaghaghyugaqut. Tawateghpigaq sikughlluget piitfigillghistun piitutet, tamaakut yuget piyukellghita puygustaqiit Kiyaghneghem akuzitangi.
20	Iwernga ilangi yuget pinilghiistun sunastun ayuqut. Piitutet tekitkat pinilghiikun sunakun elngaatall nawaaqut. Ilangi piitestiiqut 30, ilangi 60, ilangi 100. Tawateghpigaq tamaakut yuget nagaquneghmegteki Kiyaghneghem akuzitangi qaatkaqiit, enkaam elngaatall qepghaghaqut Kiyaghneghmun. Ilangi wataqaaghaq qepghaghataaghaghaqut ilameggneng.”
21	Jesus-em nagneghutkii, “Kitum alngunak kenelghutak itghullukek sagneghem asinganun llinaanghitaak, nalighmeng qavaghvigem asinganun. Itupill quulvaqun llilleqaak.
22	Sangwaa alngunak iiqaq qaaynganun lliighyaghqaaguq, sangwaallu alngunak saapegkaq saaputiighyaghqaaguq.
23	Sigutelgukufsi nagatusighqameng, nagatek!”
24	Whatenllu pikii, “Nagatngwaaghtengnga! Tuunilleghpesistungwaaq Kiyaghneghem tuunelleqiisi, paninang tuunataghaghlleqiisi.
25	Yuuk salek tuunataghaghyaghqaaguq. Yuuk sapagllagilnguq sangiighhii tuguyaghqaagut.”
26	Whatenllu Jesus-em pikii, “Ataneghpagullgha Kiyaghneghem whatetuq: yuuk ifkaghqughaquq piitutneng piitesiighaghvigmini.
27	Piitutet piilluteng nawaaqut unugtuumaan, aghneghtuumaan yuuk qavaayaghngaan, teghhumayaghngaan, paninang piitutet nagwaaqut. Yugem nallukaqii naten nawaaqutangi.
28	Sunanginaghhaam kayutngunani piitutet nagustaqii enkaam piitestekangaqut: sivukluteng sungaghyukegtaghhaat piitaqut, taagken napaaziingaqut qenwatlu grain-engaqut.
29	Grain-et qigunghata unataghyaghqaaghtaqut, enkaam yugem kepughaqii kepuusimikun.”
30	Jesus-em aaptekii, “Samun uspunnaqesteggu Ataneghpagullgha Kiyaghneghem? Sangwaa ungipaghaatkennaqesteggu liigikestisiiluku?
31	Ataneghpagullgha Kiyaghneghem mustard-em piitutngatun ayuquq. Mekestaalleghpigaaguq piitutneng nunami whani iwernga yugem piitesiighaneghminigu,
32	anglighllagaquq angelleghpigaaghlluni nunivagseghaghyaggaghneng. Uglaapiglleghhiit avayaghrugllagi enkaam qawaaget unglusiiqut ququngaan akulngakun siqinghillghakun.”
33	Jesus-em atuqluki ungipaghaatelghutet yugnun akuzitkegkaqii Kiyaghneghem Akuzitangi. Aapqaqii yugnun liigikelleghtulangistun.
