1	Neqenghaghqelleghqaa Passover-em, Neqenghaghqelleghqaallu Yeast-alillgilnguum Neqekrangllam kaasaghqak maalghuk aghneghek atughlukek. Chief priest-etlu, apeghtughikayugetlu Liilightuusaneng paninang agghitngulghiit aksaqluku tuguluku Jesus tuqunnaluku.
2	Iwernga neqenghaghqemmi piyugumangilkangat luuraq yuget seghleliighqiighllagnayukata.
3	Bethany-minguq taawa yuuk atighaqegkangat, Simon, Leper-a. Simon-enkuni Jesus neghumaluku, aghnaq iitqaq tugumiiqlukek alabaster-ek aqimleghutak akitupiglleghhiik tepengllaasik, nard-epigmeng ulimaaghek. Sigiqlukek aqimleghutam paaskek kuuvegkakek Jesus-em naasqwakun.
4	Tawanlenguut ilangi ugumiyugluteng ilateng pikiit, “Sangan tepengllaasik sakusiiqakek?
5	Akiklukek allgeghutkennayaghtuk 300 siipngalghiimun denarii-mun enkaam akinga tunqughnayaghtuq aklumalghiinun!” Taagken aghyuuqaat aghnaq.
6	Iwernga Jesus-em pikii, “Avelghaghteggu! Sangan seghlequughesteggu? Piniipigtuq whangamnun tawaten pillgha.
7	Aklumalghiit quunpeng tamaansaghqaagut, enkaam qakun alngunak kayusiitaqnaaghasi. Iwernga whanga quunpeng elpesininnaanghitunga.
8	Uum aghnam apeghiighaa piyaghqani; tepengllaghqekestaghaa yugusiqa llivelleghqamnun.
9	Ipa ungipaatamsi, nani alngunak nunataghhaani tamaghhaani Pinilghiit Ungipat ungipaqneghmegteki, aapghaqnaaghaat aghnam tawaten pillgha yugnun neqamikesqelluku.”
10	Taagken Judas Iscariot, ilangat qula maalghuk siipneqluku maligsaaghtet, chief priest-enun pikaq uveghpagusugniluku Jesus ellngitnun, tugusqelluku.
11	Tawaten piyisteng elngaatall efquqegkaat, akeqegkaatlu manililleqniluku. Enkaam Judas pilleghqangnaqutkegkaq uveghpagunnaluku.
12	Sivuliq aghnegha Yeast-alillghilnguum Neqekrangllam Neqenghaghqellgha kaatkaq. Tawani aghneghmi, Jews-et iiwleng tuqutaqegkangit penniighaghaat Passover-em Neqenghaghqellghanun. Maligsaaghtet aaptekaat Jesus, “Nani yataaghqullaken Passover-em Neqenghaghqelleghqaaneng?”
13	Taagken Jesus-em pikakek maalghuk maligsaaghtegni, “Jerusalem-emun aglaghtek, yugem meghtalghiim nallaghlleqiistek, maliggnakesek.
14	Mangteghamun iitqan taam mangtegham yuga pinakesek, ‘Apeghtughistem whaten pisqaaten, Nani maligsaaghtekullghiini neghnaqesteggu Passover-em Neqenghaghqellgha?’
