1	Mulugpenani Jesus ighleghtekaq neghllagnunllu nengiighhaghnunllu. Ungipaqikaq Pinilghiineng Ungipaneng Ataneghpagullghaneng Kiyaghneghem ayuqelghiimeng. Qula maalghuk siipneqluku malighsaaghtengita maligtekaat,
2	ilangillu aghnat maligutkat. Aghnaneng aanesquqaqegkangi tughneghaat, naallghuquqaqegkangillu aqnighneghitneng. Taakunguftut Mary Magdala-ghmii (ellnganeng aanestekaqegkangi maaraghvinlek tughneghaat),
3	Joanna, Susanna, ilangillu aghnat. Taakut aghnat pitutalmeggneng kayusiitaqegkangit Jesus-enkut maligsaaghtekullghiit. (Joanna-m uginga Chuza, aflengakistenguftuq Herod-em mangteghaaneng).
4	Neghllagneng tamaghhiitneng yulghuteghllaget tagilaghaatkat Jesus-mun. Qerngughuteghllagyata ungipaghaatkii,
5	“Piitesighaghta piitesighaghyaghtuqaq piitesighaghvigminun. Miluuqughyaqminiki piitutet ilangi tekitkat tumetgun enkaam yuget tutmaasghaqegkiit; taagken qawaaget tagiluteng neghegkiit.
6	Ilangi piitutet tekitkat uyghagtuqakun naguyalghiimeng paliqat, qayughllak sunanga yukutanneghilnguq.
7	Ilangi piitutet tekitkat sikughllugtuqakun, sikughlluget maligulluteng naguyalghiimeng piitfigiqiit.
8	Enkaam ilangi piitutet tekitkat sunakegtakun, piitestikat pinilghiineng nunivagseghaghneng. Tamaghhaghmeng tamaakut 100-kaghtaan piitutengaqut.” Jesus-em akuzilleni taaqniqii, “Sigutelguusi, nagatek!”
9	Maligsaaghtengita aaptekaat Jesus sameng pisiitanga taana ungipaghaan.
10	Kiimsiqii, “Kiyaghneghem nakmikumiisi liigikesqelluki talughngalghiit ipapillghi Ataneghpagulleghmi. Iwernga ilangitni yugni ungipaghaatnginaawaqut. Enkaam esghaateghngaaghmeng esghaasigatut, nagateghngaaghmeng liigikigatut.
11	“Taana ungipaghaan whaten pisiiguq: Piitutet Kiyaghneghem akuzitkii.
12	Piitutet tekitkat tumetgun inglutngaat nagatkanun Kiyaghneghem akuzitanganeng. Taagken Tughneghaam tagiluni tugaaqii akuzitet ilungitneng ugpeqifqiitallu yugulillengefqiitallu pisqelluki.
13	Piitutet tekitkat uyghagtuqakun usputngaat nagatkanun Kiyaghneghem akuzitanganeng. Nagalluki akuzitet quyakusiqluki tuguklighaqiit, iwernga qamaverugllak ilumeggnun iteghtesigatiit. Ugpeqiighlluteng, iwernga nanghiiqullengneghmeggni ugpeqinanighaqut.
14	Piitutet tekitkat sikughllugtuqakun usputngaat nagatkanun Kiyaghneghem akuzitanganeng. Iwernga sumeghyalinkut, aklunginkut, teghignaanllu unguvallghem piitfigighaqii, enkaam piitestekiit angtaniisigatut.
15	Enkaam piitutet tekitkat sunakegtakun usputngaat nagatkanun Kiyaghneghem akuzitanganeng. Neqamikaqiitlu pinilghiikun ipapighqengngalghiikun ilumegteggun. Nagneghaqut qaatkelluki akuzitangi enkaam piitestekastun ayuqut piitesqughllalghiit pinilghiineng.
16	“Kitum alngunak kenelghutak kumaghllukek sagneghem asinganun llinaanghitaak, nalighmeng qavaghvigem asinganun. Itupill quulvaqun llilleqaak, itelghiinun nighuk esghiisqelluku.
17	Qayughllak sangwaa alngunak iighngalghii Kiyaghneghem aliighsaghqaqaa, sangwaallu alngunak saapngalghii qaaynganun lliightesleqaa.
18	Enkaam nagatngwaaghtek. Kitum alngunak liigikegkumiki apeghtuusanka liigikellengataghaghllequq. Iwernga kitum alngunak liigikenghilkumiki apeghtuusanka talwa liigiknikii iqilleqiit.”
19	Taagken Jesus-em naanganllu anglegutangitallu takukaat, iwernga kaanneghmeng aghtuqaat qayughllak yulghuteghllaget kanglluqaghlluku ayuqegkangat.
20	Kitum ungipaatkaa, “Naanllu anglegutetenllu qakma nekevghataaghutaqut, esghaghyugaqaaten.”
21	Iwernga pikii, “Naakallu anglegutenkallu tamaakunguut nagallghiit akuzitanganeng Kiyaghneghem, qaatkegkangitlu.”
22	Ataasimi aghneghmi Jesus-em maligsaaghteni pikii, “Naayvam inglunganun aghviilta.” Angyamun uughquulluteng aghulaqegkat.
23	Telaanangamaluki Jesus qavaqaq. Naayvami anuqliiteghllakii, angyaatlu meghem imighaataqegkaa enkaam yakughniighllakat.
24	Maligsaaghtengita takuluku taghtughlluku pikaat, “Yuguniiq, Yuguniiq, tuqulaghaannaqukut!” Jesus-em makelluni ineghtekii anuqallu imaghllugetlu enkaam naangegkat, amsanaghtengnginaamaghmi pikaq.
25	Aaptekii, “Sangama ugpeqenghitestengnga?” Iwernga alingengulghiitlu allaghlluwhaghyugulghiitlu enkaam ellmeggneng ilateng aapqughaaghutkiit, “Kinangaawa una yuuk, talwa ineghtekangi anuqallu imaghllugetlu enkaam legan qaatkegkangat?”
26	Taagken kaatkat Gerasa-ghmiit nunangitnun, naayvam inglunganilnguq Galilee-meng.
27	Legan Jesus quutmun uugtuq, nallaqaa yuuk ilumikun tughneghaghtuqaq, nemeng pinguftuq. Pilugugigalnguq qavngaghhaaneng, kiyaghsigalnguqlu mangteghani naqam lliveghnitaqelghii.
28-29    Jesus-em qelqaa tughneghaq ellnganeng aanesqelluku. Taagken yuuk araghaataghllagluni sikmuutkaq manungakun, maniguutepiglluni iglagtupiglluni pikaa, “Jesus, Ighnegha Qulighpigaghllagem Kiyaghneghem, sanaqsinga? Maniguutepigtunga ikfiqestefqaama pisqellunga.” Tawaten pikaa qayughllak Jesus-em qelqanga yugmeng aanesqelluku tughneghaq. (Uglaghngaan tughneghaam tugughllagaqegkanga. Yuget kelengakaqsaqangat, qiipraghutnengllu asightaqsaqangit iiggillu itegiillu, iwernga sakequghaqegkangi. Enkaangam tughneghaam kilgaanun aghulaqestekaa.)
