1	Sivulighmi aghneghani santillghem, Mary Magdala-ghmii lliveghtekaq salin mamlegluku. Esghaqaa uyghagrugllak iqilluni lliivghem paaynganeng.
2	Enkaam ketanqusnaq aglaqaq Simon Peter-munllu ilanganunllu maligsaaghtemun, Jesus-em piniqegkaanun. Mary-m pikakek, “Nuugsimaat Ataneq lliivghaneng. Nallukaghput navek llimatanga.”
3	Enkaam Peter-enkuk aallghallu maligsaaghta lliveghtekak
4	ketanqusnaq. Aallgha Peter-meng sukalnguq, enkaam sivukluni kaatkaq.
5	Guughlluni qineghsalghiimi esghaqii qiipaghaat, iwernga iitghumangilnguq.
6	Kingungiighhaaneng Simon Peter kaalluni iitqaq lliveghmun, esghaqii qiipaghaat tawani.
7	Esghaqaallu allakaghmi qiipaghaq Jesus-em naasqwakun iimgutngayalghii.
8	Taagken aallgha maligsaaghta kaasuwhaaqaq lliveghmun iitqaq. Esghaghyamigu ugpeqegkaa Jesus.
9	Salin esghallghilluki liigikumangitkangak Akuzitnilnguq Igaqegkaq unguvapestaaghyaghqaaniluku tuqulleghmeng.
10	Taagken maligsaaghtek aglaqak nemegnun.
11	Iwernga lliveghmi Mary qiyiqegkaq. Qiyanqusiin guughlluni ilutmun qineghsalghiimi,
12	esghaqakek maalghuk yaqulgek atkuyaalgek qatelghiimeng. Aqumgaftuk Jesus-em yugusiin lliviksaqangakun, aallgha naasqwan nengakun, ilanga itegaan nengakun.
13	Aaptekaak, “Aghnaq, sangavek qiyaaqsin?” Kiimsiqakek, “Nuugsimaat Atanqa. Nallukaqa navek llimatangat.”
14	Mary tawaten piluni qiivutkelluku esghaqaa Jesus nekevghalghii, iwernga nallukegkaa Jesus-ngutanga.
15	Jesus-em aaptekaa, “Aghnaq, sangavek qiyaaqsin? Kina ivaghaqsigu?” Mary-m piitesiighaghtenguniluku pikaqsaqanga, enkaam pikaa, “Yuguniiq, nusugumakuvgu ungipaatinga navek llimaten, enkaam aqfalleqaqa.”
16	Jesus-em pikaa, “Mary”. Mary-m qiivluku pikaa Hebrew-stun, “Rabboni”. (Whaten pisiq, “Apeghtughista”.)
17	Jesus-em pikaa, “Saaftegpenanga, salin mayiigatunga Atamun. Iwernga aglaghluten anglegutemnun ungipaannaketen, ‘Mayughnaqunga Atamnun, elpesillu Atagpesinun, Kiyaghnemnun, elpesillu Kiyaghneghpesinun.’”
18	Mary Magdala-ghmii aglaghluni maligsaaghtenun pikii, “Esghaamaaqa Ataneq.” Enkaam ungipaatkiillu Jesus-em ungipaatesqellghaneng.
19	Sivuliilghii aghnegha santillghem. Ighivgaani tawani maligsaaghtet qerngughutkat. Alingluteng Jews-et igleghutistengitneng, amiget maghqatngastekiit. Jesus tagiluni akulangitgun nekevluni pikii, “Nekeggmelleq elpesinilli.”
20	Tawaten piluni, kelgutkii iiggenillu saninillu, enkaam maligsaaghtet quyaghllakat esghaghluku Ataneq.
21	Taagken Jesus-em pilaataqii, “Nekeggmelleq elpesinilli. Katam tawaten Atam kayagtellghatun whanga, tawateghpigaq kayagtamsi.”
22	Tawaten piluni, aneghziigluki pikii, “Tuguklightekek Agleghnalghiik Taghneghak.
23	Seghevuskufsiki kinkut alngunak seghleghqellghitneng, Kiyaghneghem seghevulleqii. Seghevunneghilkufsiki, Kiyaghneghem seghevunnaanghitii.”
24	Thomas, (aatghan aallgha Malghi) maligsaaghtenisimangilnguq Jesus-em takwaaqngaki. Thomas qula maalghuk siipneqegkangat maligsaaghtet.
25	Ilangita maligsaaghtet ungipaatkaat Thomas, “Esghaamaaghput Ataneq!” Iwernga Thomas-em pikii, “Ugpeqnaanghitaqa wetkuqun esghaqumki tuquuqallghi iigganilnguut. Ugpeqnaanghitaqallu wetkuqun saaftekumki tuquuqallghetlu, saninganilnguqlu panalleq.”
26	Santilleq ataasiq atughluku maligsaaghtet tawanllaataqat mangteghami, Thomas-llu tawanlenguq. Amiget maghqatngaghngaata Jesus-em iteghvikluki nekevegkaq akulangitgun. Pikii, “Nekeggmelleq elpesinilli.”
27	Taagken Thomas pikaa, “Esghaghluki iiggenka saaftiki, saaftigullu sanika. Aygughitiqefqaavegngam, ugpeghi.”
28	Thomas-em pikaa, “Atanemni, Kiyaghnemni!”
29	Taagken Jesus-em pikaa, “Ugpeqiiten qayughllak esghaqevnga. Quyanaghhalek tamaakut ugpelghiit esghaghpenanga.”
30	Jesus uglaghngaan allaaghlluwhaghtiighaataqaaguq esghaamanghitni maligsaaghtemi, igaqumangilnguugut ukuni igani.
31	Iwernga ukut igaqngalghiit igaqegkaagut elpesinun ugpeqesqelluku Jesus, Christ-angutanga, Ighnegha Kiyaghneghem. Ugpeqelleghpesigun unguvallengellequsi Aatghakun.
 
