1	Taagken Peter-enkuk John-enkuk aglaqak Temple-mun 3-klaagem yughaatellghani.
2	Taawanguq yuuk piyugigalnguq ima allgenghhaghhaatmineng, aqumluni tungangakun Temple-em iteghvigani atilqelghii, Pinighnalghii Amigllak. Aghhutanga tamaghhaan kinkut kevegtughaqegkangat tawavek naghughtaneng tungsighniighesqelluku manimeng.
3	Esghaghyamikek Peter-enkuk John-enkuk itelghiik Temple-mun tungsighvikegkakek manimeng.
4	Qerngaagmek esghaghluku yuuk tawavek, Peter-em pikaa, “Ukavek qiivi whangkutegnun.”
5	Sighimapiglluni tuunaqniluni qiivegkakek.
6	Peter-em pikaa, “Maniqraggiitngwaaghtunga iwernga sameng tuunaqamken. Aatghakun Jesus Christ-am Nazareth-eghmiim, piyugi!”
7	Tuguluki aghenqigneghi iiggi nekevesimaluku yugem itegiillu tukughiillu iknaqughtekat,
8	repall qetgeqaamaghmi nekevegkaq aga piyuginaamaghmi pikaq. Taagken maligllukek iitqaq Temple-mun piyugumaghmi, qetgeqaghaqluni, usuqumaan Kiyaghneq.
9	Temple-metullghiim esghaqaat piyulghii, usuqilghii Kiyaghneghmeng.
10	Liisuqegkaat tungsighraghtenguyalghii aqumluni tungangani iteghvigan Temple-em. Saghiighayagutkaat esghaghyamegteggu yuuk piyulghii.
11	Paninang naallghutkam yugem Peter-enkuk John-enkuk qetngamalukek, yulghutem saghiighayugumaghmeng kanglluqaghtekiit Solomon-em Porch-ngani.
12	Peter-em esghaghyamiki pikii, “Israel-eghmiini, sangafsi saghiighayugetsi? Sangamta esghapagtuutestekut? Piyugtesneghitaghpung una yuuk aghtughyaghqaanghillemtegnegun, nalighmeng piniitemtegneng. Piyugigalnguum yugem Jesus ugpeqsaqminigu naallghutuq.
13	Abraham-enkut, Isaac-enkut, Jacob-enkut, sivunemtallu qamaglluteng maniguqiita Kiyaghneghem quulvaghaa Qepghaghteni Jesus. Iwernga elpesi aglaatkaqaghsi Pilate-mun nanqigtesqelluku, ighsakegkaqaghsillu Pilate-em itemusugaqngagu.
14	Yeghlegi Pilate-mun yugtaghalqaq itemutesqegkaqaghsi ighsakluku Jesus, Seghleghqumangilnguq, Qaatkutngaghllalghii.
15	Tawaten pilleghpesigun tuqutestekaqaghsi Unguvallghem Allgeghvigpigaa, iwernga Kiyaghneghem unguvaghtestekaqaa tuqulleghmeng. Liisimakngwaaghaghpung, qayughllak esghaqaqaghpung unguvallghan kingunganeng enkaam apeghyaghqaqaghpung.
16	Esghaqesi una yuuk nekevghalghii sivugpesini, qamagllusi liisimakaghsi piyugigasalghiinguuq ima allgenghhaghhaatmineng. Iknaqughtekaaguq ugpeqluku aatgha taam ataasim Jesus-em Kiyaghneghem unguvaghtekaan tuqulleghmeng. Aa-a, ugpeqillghan Jesus-kun naallghutngwaaghaa, esghaqesi maaten.
17-18    “Jew-lgutemni, neghighluku Kiyaghneghem aapqaa uuknaliqistetgun nakmikegkani Christ-a ikfiqluni tuqulleqniluku. Taana uuknaliqellghat apeghiiqaaguq igleghutistekullghiini tuqutestaqngafsigu Jesus, nallukluku Christ-angutanga.
19	Tamaaken apalluqluku avuteghqellusi, seghleghqennanighlusi qiivitek Kiyaghneghmun. Ugpeqiteggu Ataneq enkaam sangiglleqii seghleghqellesi.
20	Tawaten pikufsi Atanghem nutaghtaqnaaghii taghneghasi, kayaggneqiglleqaallu Jesus nakmikegkani Christ-anguluku elpesinun.
21	Iwernga Jesus tagivagilgami qilagmesaghqaaguq kenlanga Kiyaghneghem nutaghtellghanun sangwaa qamaglluku. Tawaten Kiyaghneq akeqikaaguq neghighluku uuknaliqistetgun aaftekamikun ellminun qepghaghtenguluki.
22	Moses pikaaguq, ‘Atanghem Kiyaghneghem uuknaliqista nakmikelleqaa yugpesineng, whanga nakmikelleghmitun uuknaliqistengulunga. Nagatngwaaghnakesi akuzillgha qamaglluku.
23	Tamaakut naganneghilnguut uuknaliqistemun Kiyaghneghem yuganeng aafluki tuqusaghqaagut.’
24	“Sangwaa maana atughput kiyaghtellemnni Samuel-em uuknaliqutkegkaqaa. Samuel-em kingunganeng ilangitallu uuknaliqistet uuknaliqutqegkaqiit.
25	Kingunqiisi uuknaliqistet enkaam Kiyaghneghem aapqii akequsat ellngitgun, elpesinunllu pinguut. Tawateghpigaq Abraham-emllu kingunqiisi. Tamaaken apalluqluku Kiyaghneghem akeqaqngamiki sivunesi Abraham-kun whaten, ‘Abraham, kinguneghpegun quyasleqanka qamagtengngwaaghluki nunam yugi,’ akequsaq taana elpesinunllu pinguuq.
26	Enkaangam Kiyaghneghem nakmikegkani Qepghaghteni kayagsuwhaaqaqaa elpesinun. Kayagtekaqaa quyasnalusi qamagllusi tunutestelleghmikun seghleghqumalleghpesineng.”
 
