1	Paul Derbe-tkaq enkaam taagken nagneqaq Lystra-mun, tamaani nallaqaa ugpeqaq yuuk aatqelghii Timothy-meng. Naangallu ugpeqaalghii Jews-a, naqam atanga Greek-a.
2	Ugpeqat qamaglluteng Lystra-melnguutlu Iconium-emelnguutlu akuzitkaqegkangat Timothy piniipiggniluku.
3	Paul-em kelqesukaa Timothy kayutnguluku enkaam circumcise-estekaa. Tawaten pistekaa tugukliisqelluku Jews-enun, qayughllak tamaanlenguut Jews-et liisimakegkangat atanga Greek-ngulghii.
4	Taagken igleghanguluteng neghllagnun kaanneghmeggni ugpeqat qaatkutesqaqegkangit apostle-etlu, Elder-etlu liilightuusangllaqiitnun Jerusalem-emi.
5	Enkaam ugpeqat wata ugpeqiighataghaqat, nulamanginaqatlu aghhutanga tamaghhaan.
6	Paul-enkut igleghtekat akulegkenkun Phrygia-mllu, Galatia-mllu, qayughllak Agleghnalghiim Taghnegham ungipaghtesimangilkangi ungipameng Asia-mi.
7	Tughwaaghluteng Mysia-mun nagneghnaqegkaayalghiit Bithynia-mun, iwernga Jesus-em Taghneghagkenka pisneghitkii.
8	Enkaam Mysia naghughlluku tesamavek Troas-mun pikat.
9	Unugmi tawani Paul-em esghaghwaalleghqun esghaqaa yuuk Macedonia-ghmii tagsighralghii. Yugem maniguutepiglluni pikaa, “Tagiluten Macedonia-mun kayusiitaghtikut!”
10	Legan Paul-em esghaghwaallghan kingunganeng yataaghqukut Macedonia-mun pinaluta, qayughllak liigikegkefut Kiyaghneghem ungipaqisukanginkut Pinilghiineng Ungipaneng tamaani.
11	Enkaam telanangameng nangaqaghtukut Troas-meng Samothrace-mun. Unaamingani Neapolis-mun piikut.
12	Taagken quutkun kaatukut neghllagmun Philippi-mun Macedonia-melngughmun Rome-eghmiit nelikiitnun. Qafsinat aghneghet tamaantukut.
13	Tamaansimaluta Sabbath-ngughsagu mingllutem amigllagakun aanluta kiiwegnun piikut, Jews-et tawani yughaataqnayukata. Aghnam ilangi tawantuteftut enkaam aqumuulluta aleghqughaput.
14	Ataasiq nagallghii Lydia-nguftuq, Thyatira-ghmii, akilpegaqayuk esnegrukegtameng qiipaghaghmeng, maniguutkayuk Kiyaghneghmun. Atanghem liigikestengngwaaqii Paul-em akuzitangi Lydia-mun enkaam ugpeqegkii.
15	Qamaglluteng nengllugutkullghiit paaptaayeyameng Lydia-m aqelqangllaghiinkut, “Sumeghpesini ipapik ugpeghumakuma Ataneghqun, whangkunnitaghhnayanghitsii?” Enkaam sagiqusinkut ellngitnitukut.
16	Ataasimi aghneghmi kiiwem esnenganilngughmun yughaatfigmun aglaamaluta, nallaghaghput qepghaghtelaaq aghnaghaq ilumikun tughneghalek. Taam tughneghaam uuknaliqutkestaqegkangi sangwaat sayaghqat sivutghulluki. Enkaam piliitestengita aklungighisiqngukangat.
17	Taam aghnaghaam maligsaaghiinkut Paul-llu whangkuta akilghuumaghmi, “Ukut yuget qepghaghtekii Aangelleghpigaam Kiyaghneghem! Ungipaataqiisi naten yugulillengelleghqameng!”
18	Qafsinegllak aghneq tawaten piiq. Qenwatlu Paul-em qinuyagulluku tughneghaq ilunganilnguq qiivluku pikaa, “Aatghakun Jesus Christ-am qelghamken aanesqelluten ellnganeng!” Tawaninginaq tughneghaq ilunganeng aanegkaq.
19	Piliitestengita liigiksamegteggu allgeghututkesaghqaananiimatseng aghnaghaq, Paul-enkuk Silas-enkuk akuqaqagket. Qamughsiighmeng aglaatkagket igleghutistenun akilpegaghvigmelngughnun.
20	Taagken igleghutistet aglaallukek Rome-eghmiit nanqigtistengitnun pikiit, “Yugek ukuk Jew-nguuk, seghleliighqiinguuk maani.
21	Apeghtughiiquk kiyaghtaalleghmeng whangkuta Rome-eghmiini liilightuusamta iinghutkiitneng. Tamaaken apalluqluku apeghtuusiik atuqnaanghitaput.”
22	Enkaam yulghun ilatqaghtaalluni sughukagket Paul-enkuk Silas-enkuk. Nanqigtistet qelghutkagket aatkiik qesugumeng mataghqughluki anagulghesqellukek.
23	Anaguleghtaaneghmeng taaqlukek anusimingllaghvigmun kanaghtekagket. Taagken anusimingllaghvigem umiilganun maghqatutngwaaghesqegkagket.
24	Anusimingllaghvigem umiilgan tawaten kayagsatni iluklighpigaghmun qamavek kanaghtekakek. Taagken umughllagmeng unaghsimeng tukughusighlukek, maghqatkiit taakut tukughutet qapragyaghqaagpenakek.
25	Nani tamaani unugem qukaani Paul-enkuk Silas-enkuk yughaamaagmek ilagaqak usuqilleghmeng Kiyaghneghmun, anusimingllaghat tawanlenguut nagatkagket.
26	Nuuskagllagan nuna tuyepeghtaqaq, repall anusimingllaghvik tunemaghtuumaan aghulatkaa. Tawaninginaq amiget qelpeghaghtaatkat, anusimingllaghanengllu qiipraghutet ilefkaghaghtaatkat.
27	Anusimingllaghvigem umiilga taghtughyalghiimi, amiget qelpatuteftut. Sumeghmini anusimingllaghat qimaguusimaniluki savigpani nusugluku ellmineng tuqunnaqegkaq.
28	Iwernga Paul-em iglagtupiglluni pikaa, “Tuqunnaqegpenang elpeneng qayughllak qamaglluta whaantutukut!”
29	Anusimingllaghvigem umiilga keneghmeng tungsighluni iitqaghtekaq. Alingruughem ungelegsimaghmi Paul-enkuk Silas-enkuk manugkenkun segesqughtekaq.
30	Taagken aanututkellukek aaptekakek, “Yugegni ukughtek, naten salunga yugulillengnayaghsinga?”
31	Pikaak, “Ugpeqigu Ataneq Jesus enkaam yugulillengellequten, nengllugutetenllu yugulillengellequt.”
32	Taagken Paul-enkuk Silas-enkuk ungipaqegkaak Ataneq ellnganunllu nengllugutanganunllu.
