1	Enkaam whangamtun piiqitek, katam whanga maligtellemtun Christ-a.
2	Usuqamsi neqamikegkefsinga, atuqegkesillu apeghtuusanka.
3	Iwernga liigikesugamsi Christ-a naasquutinguuq tamaghhaanun yugnun, yuguuqlu naasquutilghii nuliighmineng.
4	Nasqughiitighluni yuuk yughaqumi nalighmeng ungipaqumi Kiyaghneghem ungipaaneng yughaghvigmi, quulvaghyaghqaqenghitaa naasquutilghi.
5	Enkaam aghnaq nasqughiitighpenani yughaqumi nalighmeng ungipaqumi Kiyaghneghem ungipaaneng, quulvaghyaghqaqenghitaa naasquutilghii. Tawaten pikumi qigughwaaqastun meqesluni ayuqellequq.
6	Aghnaq nasqughiitighyunghilkumi, kepughli nuyiighulluni. Iwernga aghnani kayngunalghiinguuq qigulleqlu nuyiighullunillu kepulleq, enkaam nasqughiitighngali.
7	Yuuk nasqughiitighyaghqaanghituq maniguuskumi qayughllak Kiyaghneghem nangaghneghatun ulimaaghuuq, Kiyaghneghem aangellgha esghiisqelluku. Iwernga aghnaq ulimaaghuq yugem aangellgha esghiisqelluku.
8	Liisimakegkesi yuuk aghnameng ulimaaghunghilnguq, iwernga aghnaq yugmeng ulimaaghulghii.
9	Yuuk ulimaaghunghituqlu aghnamun iwernga aghnaq ulimaaghuuq yugmun.
10	Taana apalluqluku aghnaq nasqughiitighyaghqaaguq, enkaam yaqulget liigiklitgu yuuk aghnamun naasquutingutanga.
11	Iwernga neqamikiteggu Atanghem uspeqellgha, yugenkuk aghnaankuk aklukutngaak.
12	Aghnaqsuggaaq yugmeng ulimaaghughngaan, taagken kenlanga yuuk qamaglluni allgeqaaguq aghnameng, iwernga aghnatlu yugetlu qamaglluteng Kiyaghneghmeng pinguut.
13	Sumeghtaghaatkaghtegguqun: ipa anaggutngaa aghnam nasqughiitangunani yughallgha Kiyaghneghmun?
14	Yuget quunpeng ugpeqaqaat nuyiightekaghnguq yuuk ukavaghtaquq ellmineng,
15	iwernga aghnam nuyaghllani quulvaasiqaa. Nasqughiitaghqaaluni ellnganun pikaaguq.
16	Paninang kina aaghtiiraaghyugukumi nasqughiitameng, ungipaanneqigtaghllakun taanata apostle-eni apeghtuusaqaqegkefut, Kiyaghneghem yugan atuqaqaat apeghtuusaq naansaghngaaghmeng.
17	Whaken apeghtughyugamsi qerngughutaqelleghpesineng maniguutelleghmun. Usuqepagningitamsi qerngughutaqelleghpesinun qayughllak aqnighquutaghaghaqusi pinighqutegpenasi.
18	Ungipaataqaatnga qerngughunneghpesininguq ilasi aafqemeraaghutaqut, ataasistun pigpenateng. Ugpeqekestaghluku lliighaqa.
19	Entaqun aafquutelleghpesigun liigiksaghqaqasi nalisi ipa qaatkutngatangi Ataneghmun.
20	Enkaam qerngughunneghpesini Atanghem Neghestillghanun, neghyaghtuunghitaqaghsi.
21	Neghuunneghpesini tamaghhaghpesi neragkiighaqusi neqegpesineng, ilasi utaqagpenaki. Enkaam ilasi iyataghaqut, ilasi suumaqut.
22	Neghigatsii-i, meghigatsii-i negpesini? Nalighmeng ugumikestekii Kiyaghneghem yugi? Kayngusaghaatesnaqutkaqestekii avangilnguut? Sameng pilamsi? Usuqlamsii? Nakaa, usuqnaanghitamsi!
23	Sangwaa liitkaqa Ataneghmeng apeghtuusaqaqaqa elpesinun. Atanghem Jesus-em ighivgaghmi tawani uveghpagutelleghqamini tugukaa neqekrangllaq.
24	Iyamsiqayugviksamigu Kiyaghneq, aavgughluku, pikaq, “Una yugusiqaqa elpesinun pinguuq. Neghaqiteggu neqamikusiiluku whangamneng.”
25	Neneghmeng taaqsameng, tawateghpigaq tuguluku qayuusiq wine-eghraghaghmeng imalek, pikaq, “Una qayuusiq Kiyaghneghem nutaghaaguq akequsaa aamkun. Awen meghaqiteggu neqamikusiiluku whangamneng.”
26	Enkaam quunpeng neneghpesini taagken neqekrangllameng, meneghpesinillu taagken qayuusimeng, kelgutngwaaqaghsi Atanghem tuqullgha kenlanga alla tagilleghqaanun.
27	Kina alngunak temngi neghegkumi Atanghem neqekrangllaaneng, meghegkumillu Atanghem qayuusiineng, quulvaghnaanghitaa Atanghem yugusiillu aawallu.
28	Tamaaken apalluqluku sivukluni yugem avuteghqutkelliki seghleghqelleni alla piyaghqaafqiita pinaluki. Enkaam neghelghaaq neqekrangllameng, meghelghaaqlu qayuusimeng.
29	Kina alngunak neghelghii neqekrangllameng, meghelghiillu qayuusimeng, Atanghem yugusii liigiknaqegpenaan sameng pisiitanga nanqigtellengyaghqaaquq Ataneghmeng.
30	Taana apalluqluku uglaghtusi kayaalngughnillu qinuyugngalghiinillu enkaam qafsinat tuqulaghaatkaagut.
31	Iwernga ipapighqelluta nanqigtekumta whangkunneng katam enkaam avuteghqutkegkumteki seghleghqelleput, Atanghem nanqiggnaanghitiinkut tawaten pikumta.
32	Iwernga Atanghem apeghtughyuneghminikut naten kiyaghtelleghqameng, nanqigtaqiinkut. Aghyuughyaghqaafqaamta pinaluta nanqigtikumi ugpeqingigalngughneng.
33	Enkaam ugpeqaalgutemni qerngughunneghpesini neghnalusi Atanghem Neqenghaghqellghaneng neghekestaghpenasi, utaqatutaqlusi.
34	Iyatalghiit tamaakut nemeggni neghlit enkaangam Atanghem nanqiggneghilliki. Aglaquma elpesinun ilangi aaptekasi kiimsighnaaghanka.
 
