1	Ukut latat Paul-meng pinguut, apostle-meng. Yuget nakmikellghitaatnga apostle-ngulunga, talwa kayagtellghitaatnga. Apostle-nguughtekaagunga Jesus Christ-akunllu Kiyaghneghqunllu Atakun, unguvaghtestikaq ellnganeng tuqulleghmeng.
2	Lataaqamsi ugpeqani Galatia-melngughni. Qamaglluteng ugpeqaalgutma maanlenguut piniqiisinguk whangamnun maligulluteng.
3	Kiyaghneghem Atamta, Atanemtallu Jesus Christ-am nanglleklisillu nekeggmellelguslisilillu.
4	Christ-a ellmineng aghqutkegkaaguq seghleghqellemnnun, itemunnaluta whaken seghleghmeng kiyaghtaalleghmeng. Kiyaghnemta Atam piyukellghatun pikaaguq.
5	Enkaam Kiyaghneq usuqellengli quunperugllak kenlengunaan. Amen.
6	Saghiighayagutamsi aawallu pegtaghtaghsi tuqlughistezi nangllegtallghakun Christ-am, tuguklighiisi allaneng “pinilghiineng ungipaneng”.
7	Avaqraggiituq alla “pinilghiineng ungipaneng”. Iwernga ilangita yuget teggellghiightestaqiisi allangughhnaqutkelleghmegteggun Pinilghiit Ungipat Christ-ameng ayuqelghiit.
8	Qaywa yaqulek qilagmeng, nalighmeng nalimta whangkuta ungipaqegkumteki “pinilghiit ungipat” allanguluki ungipaqegkamnneng elpesinun, taana ungipaqilghi Kiyaghneghem nanqiglligu aghyuulleghmun.
9	Sivunghani ungipaatkaqamsi, whaa ungipaannaqlaataghamsi, kitum alngunak ungipaqegkumiki “pinilghiit ungipat” allanguluki ugpeqegkaghpesineng, Kiyaghneghem nanqiglligu aghyuulleghmun.
10	Tawaten akuzillemkun efqughhnaqutkengngunghitanka yuget. Nakaa, Kiyaghneghhiinaaguq efqughsukaqa. Paninang yugnun efqughtinaqutkengngukuma, Christ-amun qepghaghtengunaanghitunga.
11	Ugpeqaalgutemni, una liisimakesugaqa elpesinun, Pinilghiit Ungipat ungipaqaqegkenka yugneng pingunghitut.
12	Nagaquqaqenghitanka yugneng, talwa kitum alngunak apeghtuutkumangitii whangamnun. Jesus Christ-am aliightekaqii whangamnun.
13	Nagaquqaqaghsi natesaatka maligtengnguluki Jews-et kiyaghtaallghit. Elngaatall nangllegyullngunanga amyuutkegkaqanka ugpeqat, taakunginaghhaagneng aviighutesnaqutkegkaqanka.
14	Ingyaqaqanka allulluki angtaalgutenka atuqnguluki Jews-et kiyaghtaallghit, qayughllak sagiqneghllaguyaghtunga sivunemta nangaghneghitnun.
15	Iwernga allgeghumangillunga Kiyaghneghem nakmikegkaqaanga, nangllegtalleghmikun tuqluqaqaanga.
16	Enkaam whangamnun aliightekaqaa kinangutanga Ighneni ungipaqesqelluku Gentile-enun. Kinkunun alngunak akuzitkesaghtullghitaqa taana,
17	talwa Jerusalem-etellghitunga akuzitkennaluku apostle-ngughtekanun sivumni. Yeghlegi Arabia-mun piinga. Tagtalmi uteghnightunga Damascus-mun.
18	Tamaani pingayut ayumiqullghet atughluki Jerusalem-etunga aleghqughnaluku Cephas (Peter). Ellnganitunga akimigaq unuk.
19	Kina alla apostle-a aleghqunghitaqa iwerngaqun James, Atanghem anglegutanga.
20	Aapqanka ukut ipanguut, Kiyaghneghem liisimakaanga iqlengiqngunghitunga.
21	Taagken igleghaanga Syria-munllu Cilicia-munllu.
22	Tamaani Judea-mi ugpeqat Christ-akun salin nalliigalkangatnga gginasaghqughlunga.
23	Taawanginaq liisimakaat nagaqulleghteng whaten, “Yuuk amyuqetiqestekegkaghput, naafqiinaqutkegkaqlu ugpeqillemnneng Christ-ameng maaten whaa ungipaqiiquq ugpeqilleghmeng Christ-akun!”
24	Enkaam Kiyaghneq usuqaqaat whanga apalluqlunga.
 
