1	Enkaangam piniqegkamni ugpeqaalgutemni, esghaghyupigtamsi, quyamasiqamsi, akileghtuusaqamsillu qepghallemnun. Tawaten aghuliitekestaghtek Ataneghqun.
2	Euodia, Syntyche, qevuullunga qeleghnaqamtek, taaqitek aghivanneghmeng. Ataasistun lliightek, qayughllak ugpeqaalgutkututek Ataneghqun.
3	Qepghalgutemni Syzygus, elpeklu kayuusiitaghtikek aghnak taakuk taaqesqellukek aghivanneghmeng. Elkegkenka qevuullutek qepghalgusiqaqiinkut Clement-lu ilangillu qepghalgutenka, qamaglluta ungipaqinguluta Pinilghiineng Ungipaneng yulghuteghllagnun. Qepghalgutma qamaglluteng aatghit igaqngaat Igaakun Unguvallghem. Tawantut igani aatghit qamaglluteng kenlengilngughmeng unguvallengegkat.
4	Iiwleng quyamaaqitek Ataneghqun. Pinaqlaataghamsi, Quyamaaqitek!
5	Nuqenneghtulleghsi yugem qamaglluni liilligu. Ataneq tagiyaghtungestaghtuq.
6	Sumeghyalitkegpenaan sangwaa alngunak. Yeghlegi, sameng aklukufsi yughaneghpesini tungsighaqitek Kiyaghneghmun tuunesqellusi. Iiwleng tungsighaqitek igamsiqayullelighlusi.
7	Enkaam Kiyaghneghem ilusillu umyugasillu nekeggmetesnaaghii Christ Jesus-kun. Kiyaghneghem nekeggmellgha aangeghllagtuq, kitum alngunak liigikngwaaghnaanghitaa.
8	Enkaangam ugpeqaalgutemni, naangniitangakun latama ungipaasuwamsi sumeghtaghaatkumanginiisqelluki pinilghiitlu usuqsaghqatlu whatelnguut: tamaakut ipapiget, quulvaghyaghqat, elqughutngalghiit, pelungilnguut, piniqsaghqat, tamaakutlu pinitun akuzitkesaghqat.
9	Sangwaa qamaglluku nagneghuteggu liitkaghsi whangamneng apeghtughillemkunllu kiyaghtaallemkunllu. Enkaam Kiyaghneq nekeggmellelitikayuk elpesinillequq.
10	Elngaatall quyapigtunga Ataneghqun qayughllak qavngarugllaggaaneng whaa allameng kayusiillaataqefsinga! Liisimakaqa kayusiisukaqaghpesinga, iwernga pipagningitkaagusi.
11	Aklungunilunga pingunghitunga qayughllak natesaghngaaghma itagnaghaqunga.
12	Ilangani nuughngaghma kiyaghtaqunga, ilangani siiptiilunga kiyaghtaqunga. Itagnaghyagusimaanga nani alngunak satulemtun kiyaghhnemni. Itagnaghaqunga kepsughngaghma kiyaghhnemni, iyataghngaaghmallu kiyaghhnemni, talwa aklumaghngaaghmallu, aklunghiteghngaaghmallu.
13	Sangwaa alngunak piyaghqaqaqa Christ-akun iknaqughsaghtemkun.
14	Paninang elpesi pinitungwaaq kayusiitaqaghpesinga seghleliinemni.
15	Elpesi Philippi-yeghmiini, liisimakngwaaghaghsi aghulaqaqngama Macedonia-meng, ungipaqiyuwhaaghaqngama Pinilghiineng Ungipaneng, ellnginaagusi ugpeqani kayusighikat whangameng. Ellnginaagusi ilatngalghiit allgeghutellemnunllu ifliillemnunllu.
16	Ataasighhaagpenaan aklupignemni manimeng Thessalonica-mellunga, tuyughaqaghpesinga.
17	Iwernga liigikesugamsi tunusasi manit megnunalleghpigaanghitut whangamni. Megnunalleghpigaqta esgha una: akileghtuusaghqaq allgeghsaghqaghsi Kiyaghneghmeng pinitun pillesi apalluqluki.
18	Whaa maaten naamaanga, aa-a, talwa siiptiilunga ayuqunga. Tuyuusasi Epaphroditus-kun qamaglluteng kaasimaat, enkaam whaa aklungigatunga. Tunusasi whangamnun aghqutkegkastun ayuqut Kiyaghneghmi efqughtinapiglleghhiit.
19	Enkaangam Kiyaghneghma yataaghqunnaaghiisi sameng tamaghhaaneng aklukegkaghpesineng aklungitelleghllagmikun Christ Jesus-kun.
20	Kiyaghnemnnun, Atamun usuqilta, quunperugllak kenlengunaan. Amen.
21	Ungipaataghnakesi qamaglluki ugpeqat Christ Jesus-kun suumqaqankanguq. Ugpeqaalgutet whangamnilnguut suumqaqiisinguq.
22	Qamaglluteng Kiyaghneghem yugan suumqaqiisinguq, kiyang taakut Caesar-em mangteghaghmiingita.
23	Nangllegtallgha Jesus Christ-am taghneghaghpesinilli.
 
