1	Agleghnalghiik Taghneghak whateghlluwaaq piik kingulighni aghneghni ilangita yuget peglleqaat ugpeqilleghteng Christ-akun. Tawaten pillequt qayughllak qaatkelleqegkangit iqlengalghiit tughneghaat, apeghtuusiitlu.
2	Tawatelnguut apeghtuusat iqlengalghiineng pinguut. Iqlengiqelleteng aapghaqiit ipapigsugnighqelluki. Nagannaniqaqiit umyugateng liisimakilghiit elqughutngalleghmengllu anaggutngalleghmengllu.
3	Tawatelnguut yuget nengughutesnanighiiqut, ilangillu neqem neghesnanighaqiit. Iwernga Kiyaghneghem ulimaaqii qamaglluki neqet neghyaghqaaluki iyamsiqayagutaqluki. Ugpeqat liisimakilghiit ipapilleghmeng liisimakiit tamaakut.
4	Kiyaghneghem ulimaaghi qamaglluteng pinilghiinguut. Enkaam ighsaksaghqaanghitut tugukliimakumeng iyamsiqayagulluki.
5	Akuzitangakun Kiyaghneghem, yughakunllu aaftekaagut agleghnaghluki.
6	Tamaakut apeghtuusat liigikestengngwaaqufki ugpeqaalgutegpenun, pinilghiingullequten qepghaghtenga Christ Jesus-em. Ugpeqillghen iknaqughlleqaa liisimanginaqufki ipapillghet ugpeqat ugpeqaqegkangit, pinilghiitlu apeghtuusat qaatkegkaghten.
7	Nagategpenaki sasiinghilnguut ungipaghaatet tengvimun ayuqelghiit Kiyaghneghem ipapillghanun. Yeghlegi peghqigsaatkigu Kiyaghneghmun ayuqelghii kiyaghtaalleq.
8	Yugusim ulapellgha pinightuq, iwernga kiyaghtelleghput Kiyaghneghem piyukellghatun ayuqelghii pinighataghaghtuq. Kayusiisaghqaqiinkut whani unguvallemnni, tuunglighhaanillu unguvallghem.
9	Taana pilleq ipanguuq, enkaam qamagtengngwaaghluni ugpeqsaghqaaguq.
10	Tamaaken apalluqluku qepghaghllaguukutlu sagiqliightengnguukutlu yugnun ugpeqesqelluku ipapilleq. Tawaten piikut qayughllak neghyukaghput unguvalghii Kiyaghneq, Yugulighistengat qamaglluteng yuget, kiyang tamaakut ugpelghiit ellngakun.
11	Qeleghqi apeghtughqi tamaaken.
12	Kitumun alngunak palaqestegpenaan anglinghhaamallghen. Iwernga ugpeqanun usputaawi akuzilleghpegun, salleghpegun, piniqelleghpegun, ugpeqilleghpegun, pelungilluten kiyaghtelleghpegun.
13	Kaatellemnun kenlanga, ugpeqat qerngughunneghata atightuutaqiki Akuzitneng Igaqegkaneng, ungipaqitaqiki, apeghtughaqiki.
14	Atuqaqigu taghneghagnekun tunusaq ilugpenilnguq. Taana tunusaq tuunegkaaguq elpenun uuknaliqelleghqun Elder-et iigtighaqngaten.
15	Pinaqellghen qamaglluku piiqiki qelghutkanka. Tawaten yuget liilleqaat pillguughlleghhiiten.
16	Piraamsingwaaghluten kiyaghtaalleghpenillu apeghtughilleghpenillu. Tawaten pikuvek elpeneng yugulillequten, tamaakutlu nagatesteten.
 
