1	Liisimakesugamken kingulighni aghneghni seghleliighllaguyaghqaaguq.
2	Yuget ellmeggneng piniqellequt, maniyuneghtullequt, yamrratullequt, aangaayugllequtlu. Seghlequughlleqiit ilateng, qaatkennaanghitiit angayuqateng, iyamsiqayugnaanghitut, waaknanighlleqaatlu Kiyaghneq.
3	Piniqinaanghitut, seghevutinaanghitut, iqlengiqutkillequt, suugllugullequt, amyuqetiqellequt, ugumikelleqaatlu sangwaa alngunak pinilghii.
4	Uveghpagulleqiit ilateng, nangyiighullequt, qukaayugteghllagllequt, teghigniqelleq piniqataghaghlleqaat pakiggulluku Kiyaghneghmeng.
5	Qaaymegteggun ugpeqaayugllequt, iwernga kiyaghtaallghita apeghlleqaat avangitulngi Kiyaghneghem aghtughyaghqaanghillghaneng. Iqitngaluten tawatelngughneng yugneng.
6	Ilangi tamaakut nenun iitghaataghllequt aaghqutaqepigesnaghnaluki nallekaghnilnguut aghnat. Tamaakut aghnat seghleghqellghita uqigtuqusighllaglleqii, seghleghemllu piyukellelghutngita aaghqutaqelleqii.
7	Tamaakut aghnat nagallequt apeghtughillghanun kitum alngunak, taawanginaq liinnaanghitaat ipapilleq.
8	Tamaakut apeghtughilghiit ellngitnun kipullginaaghlleqaat ipapilleq, katam Jannes-enkuk Jambres-enkuk kipullginaallghegketun Moses. Umyugaghlluugllequt, ugpeqillghatlu ipangunghillequq.
9	Iwernga tawaten pillghat mulunaanghituq. Temngitwhallghat aliillequq tamanganun, katam Jannes-enkuk Jambres-enkuk temngitwhallghak aliitngallghatun.
10	Iwernga elpek liisimakngwaaghaten apeghtughillghenka, kiyaghtaalqa, apallaallu kiyaghtelleghma. Liisimakanllu ugpeqilqa, iilqayunghitelqa, piniqilqa, aghuliilkaamalqa.
11	Liisimakan amyuqetaatkesilqa, ikfiqelqallu. Liisimakan tawaten pikaqaatnga Antioch-mi, Iconium-emi, Lystra-millu. Uglaghngaan amyuqetaatkellengegkaagunga, tawalliima Atanghem yugulikaqaanga tamaghhiitneng.
12	Tamaghhaghmi amyuqetaatkellengellequq kiyaghsulghii Kiyaghneghem piyukellghatun Christ Jesus-kun.
13	Seghleghet yuget, puughtistetlu, seghleghughtaghaghllequt. Puughqughllequt, ellngitlu puughtellengellequt.
14	Iwernga elpek atuqumanginaghqi apeghtuusat liitkaghten, ugpeqepiikaghten. Liisimakaten ipangutangi, qayughllak liisimakaten kinkungutangi apeghtughistekegkaghten.
15	Ima taghnughhaategpeneng liisimakegkaqaten agleghnalghiit Akuzitet Igaqegkat. Akuzitet Igaqegkat apeghtughyaqlegwaaten yugulilleghqameng ugpeqilleghpegun Christ Jesus-kun.
16	Qamaglluteng Akuzitet Igaqegkat Kiyaghneghem aneghziilqii. Enkaam apeghtughisighqaagut, aghyuughusiighqaagut, nallghusaasighqaagut anaggutelleghmun, apeghtughisighqaagutlu pinitun kiyaghtaalleghqamun.
17	Enkaam atuqluki Akuzitet Igaqegkat, Kiyaghneghem qepghaghtenga peghqigsaghwaaghngallequq, yataaghqengngallequqlu tamaghhaanun aneghneghqilleghmun.
 
