1	Iwernga elpek apeghtuusaqiki ugpeqanun ipapiget apeghtuusat.
2	Apeghtughqi nuyekliit yuget nuqenneghtusqelluki, siivaknalghiinguluki, sumeghtaghayusqelluki, ayepsugitesqelluki ugpeqilleghqun, piniqilleghqun, nuqenneghtulleghqun.
3	Tawateghpigaq apeghtughqi nuyekliit aghnat kiyaghtesqelluki tuun’ngaluki Kiyaghneghmun. Seghletun akuzitkesaghqaqenghitiit ilateng, nalighmeng megheghllafqiita wine-meng. Apeghtughiyaghqaagut pinitun kiyaghtaalleghqameng,
4	enkaam peghqighlleqiit uyuqliit aghnat piniqesqelluki ugingitlu avaqutiitlu.
5	Sumeghtaghaqegsaghqaagut, pelungisaghqaagut kiyaghtaalleghmeggni, qepghaqegsaghqaagut nemeggni, nangllegtaghyaghqaagut, qaatkusaghqaagut ugimeggnun. Enkaam kitum alngunak seghlequughnaanghitii Kiyaghneghem apeghtuusii.
6	Tawateghpigaq qeleghqi nukalpigat nuqenneghtusqelluki.
7	Elpek salleghpegun tamaghhaakun, usputaawi ellngitnun aneghneghqilleghpegun. Apeghtughiiqi ipapighqelluten, piraamsiluten.
8	Wataghllak apeghtuusaqegkan elqughutngali enkaam kitum alngunak seghlequunghillinkut. Tawaten pikuvek kipullginaaghtet seghletun akuzitkennaanghitiinkut, kipullginaallghitallu kaynguyugtesleqii.
9	Apeghtughqi qepghaghtelaaghet qaatkesqelluki piliitestengit, efqughtengngwaaghesqellukillu. Veghusnaghyaghqaqenghitiit,
10	nalighmeng teglegviksaghqaqenghitiit. Yeghlegi quunpeng pinitun, ataasiighmelluteng piyaghqaqiit. Enkaam salleghmegteggun tamaghhaakun piyuknangllaghlleqiit apeghtuusii Kiyaghneghem Yugulighistemta.
11	Tawaten kiyaghsaghqaagukut qayughllak Kiyaghneghem aliightekaqaa piniqelleni yugulillengesqelluku yuuk tamaghhaan.
12	Taam piniqellghem apeghtughiinkut pegtesqelluku kiyaghtaalleq Kiyaghneghmun ayuqenghilnguq, ighsakesqelluki nunam yugan piyukellghi seghleghqengngalghiit. Apeghtughiinkutlu nuqenneghtusqelluta, elqughutngaluta, kiyaghtesqelluta Kiyaghneghem piyukellghatun nunami whani.
13	Tawaten kiyaghtelta utaqiimaluta quyanalghiimeng sighimalleghmeng. Sighimalqaghput nighughqengngalghii aliilleghqaa Jesus Christ-am Kiyaghneghllamta Yugulighistemta.
14	Ellmineng tuunegkaaguq yugulinaluta tamaghhaaneng seghleghqelleghmeng. Tawaten pikaaguq qayughllak pelungighsaghyukanginkut ellminun yuguluta, sagiqluta aneghneghqisqelluta yugnun.
15	Apeghtuusaqiki tamaakut ugpeqanun. Kiyaghneghem qelghusii atuqluki kayemiki, aghuliightikillu seghletun pingukata. Yeqay kitumun alngunak ukavaghtestegpenang.
 
