1	Ukut latat Paul-meng pinguut, anusimingllaghaq Christ Jesus apalluqluku, ugpeqaalgutemnnengllu Timothy-meng. Piniqegkamtegnun qepghalgutemtegnun Philemon-mun,
2	ugpeqanunllu qerngughutkayugnun mangteghaghpeni, Apphia-munllu nayamnnun Christ-akun, Archippus-munllu pilluwalgutemtegnun.
3	Kiyaghneghem Atamta, Atanemtallu Jesus Christ-am nanglleklisillu, nekeggmellelguslisillu.
4	Philemon-mi, quunpeng iyamsiqayugvikaqaqa Kiyaghneqa yughaatkennemken,
5	qayughllak nagaqughaqaqa piniqellghen tamaghhiitnun Kiyaghneghem yugitnun, ugpeqillghenllu Ataneghqun Jesus-kun.
6	Yughaatkaqamken ungipaatesqelluki ilaten ugpeqillemnneng Christ-akun. Tawaten pikuvek liigikataghaghlleqaten qamaglluki quyastellghet allgeghtekaput Christ-akun.
7	Ugpeqaalgutemni, piniqilleghpek Kiyaghneghem yuganun quyasteghllagaangallu kayemaangallu! Piniqelleghpek quyastii Kiyaghneghem yugi.
8	Tetugnaanghitunga qeleghnaluten Christ-akun atuqesqelluku elqughutngalghii, iwernga tawaten pinaanghitunga.
9	Piniqutelleghpung apalluqluku aapfikamken atuqesqelluku elqughutngalghii. Whanga, Paul, nanevgaagunga, anusimingllaghaagungallu apalluqluku Christ Jesus.
10	Whanganguuq aaputilghii ighnemnun, Onesimus-mun. Anusimingllaghvigmi ataliitkaqaanga Christ-akun.
11	Sivunghani sasiinghisaghtuq elpenun, iwernga whaa kayutngughtepigsimaaq whangkutegnun.
12	Onesimus elpenun aglaghtesnaqaqa, leganqun iluka maligunnaquq ellngakun.
13	Whangamnitesuguyaghaqa kayusiitesqellunga anusimingllaghvigmi, katam elpek kayusiinnayaqevnga maansaquvek. Liisimakegkenqun anusimingllaghaalghiinga Pinilghiit Ungipat apalluqluki.
14	Iwernga whangamnitesnaanghitaqa wetkuqun sivukluten aaptaghlluten. Itagnaqumakuvgu whangamnitesqelluku taawa elpek piyukelqelleqan, qayughllak qelghunghitamken tawaten pisqelluten.
15	Entaqun Onesimus iqitaghtekaaguq elpenisaghqaaluni quunperugllak.
16	Ellnga paninang qepghaghtelaaghuuq. Iwernga qepghaghtelaaghumalleghmineng angliighataghaamaaq qayughllak piniqegkaaghsimaaq ugpeqaalguta. Piniqepigtaqa, iwernga elpek piniqataghaghlleqan qepghaghtelaaghuluku, ugpeqaalgutngulukullu Ataneghqun.
17	Enkaangam tugukliimakuvnga qepghalgutngulunga, tuguklighnaken Onesimus whangangusluku.
18	Sameng seghletun pimakangaten nalighmeng asengemakangaten, asengenga whanga llivikelleqaqa.
19	Whaa, whanga katam iiggemneng igaghtunga whaten: whanga, Paul, llivikelleqamken. Iwernga puygugpenaan unguvallghen asengeluku ayuqan whangamnun.
20	Aa-a, ugpeqaalgutemni, aapfikamken Ataneghqun tugukliisqelluku Onesimus. Tawaten pikuvek quyasleqaghpenga Christ-akun!
21	Lataamken liisimakngwaaghluku qaatkesaghqaqan qelghutkaqa elpenun, repall qaayghulluku pillequten.
22	Atwhay, nekaghqangllaataghhnakevnga qayughllak sighimanguunga Kiyaghneghem kiimsighlleqii yughallesi, enkaam elpesinun pillequnga.
23	Epaphras-emnguq piniqiisi; anusimingllaghalgutkaqa apalluqluku Christ Jesus.
24	Qepghalgutmallu Mark-enkut, Aristarchus-enkut, Demas-enkut, Luke-enkut ellngitallunguq piniqiisi.
25	Piniqellgha Atanghem Jesus Christ-am tamaghhaghpesinilli.
 
