1	Ukut latat James-meng pinguut qepghaghtenganeng Kiyaghneghemllu Atanghemllu Jesus Christ-am. Lataaqunga Jews-et ugpeqiitnun mingitngalghiinun tamangani. Quyakamsi.
2	Ugpeqaalgutemni, quyaaqitek allaaghhiinaghmeng seghleliineghpesini,
3	qayughllak liisimakasi seghleliilleghpesi nanghiiqungwaat ugpeqilleghsi, nuqenneghtughsaghnalusi.
4	Taagken nuqenneghtulleghsi nagneghngasteggu. Enkaam tawaten pikufsi angtaniillequsi, iighwighllequsi nuughyaghqaagpenasi.
5	Nalighsi peghqinellengyukumi tungsighli Kiyaghneghmeng. Kiyaghneq ighlegiteghllagtuq, quyakusiqinaghluku tuunegkayuwaa qamaglluku yuuk aapleghhii. Kiyaghneghem tuunelleqiisi tungsiqufsi.
6	Enkaam aaptek ugpeqillelighluku malghuklillngunaan. Malghuklingalghii imaghllugestun ayuquq, anuqem tengqaataqegkanga.
7-8    Malghuklingalghii ataasiighsigatuq salleghmikun tamaghhaan. Tawatelnguq yuuk talwa sumeghtaghaghyaghqaanghituq sameng alngunak allgeghulleqniluni Ataneghmeng.
9	Yeqay aklumalghii ugpeqaalgun quyali quulvaghtestengngalleghmineng.
10	Yeqay aklungilnguq ugpeqaalgun quyali qusevegtestengngalleghmineng, qayughllak aviighusaghqaaguq piitesighaghestun.
11	Siqineq piinneghmini maatneghqwaaghllagaqelghii, piitesighaat palightesluki. Taagken piitesighaat ifkaquutaqut, pinighniighutaqii. Tawateghpigaq aklungilnguq yuuk sakestaghngaaghmi aviighullequq.
12	Quyanaghhalek yugem nanghiiqulleni nuqetutkayugi. Suflughtekumiki allgeghsaghqaqaa akileghtuusani kenlengilnguq unguvalleq, Kiyaghneghem akequsaqegkaa tuunelleqniluku piniqisteminun.
13	Kina alngunak nanghiiqullengegkumi whaten pifqaami, “Kiyaghneghem seghleghqesnaqutkaanga.” Kiyaghneq nanghiiqullengyaghqaghhaanghituq seghleghmeng; tamaaken apalluqluku kina alngunak seghleghqesnaqutkesaghqaqenghitaa.
14	Iwernga yuuk piyukellelugan nanghiiqullengestaqaa seghleghqelleghmun. Sivukluku piyukellelugan sayugaqaa seghleghqelleghmun, taagken seghleghqellghem naaptaqaa.
15	Piyukellelugem allgeghtestaqaa seghleghqelleq. Taagken seghleghqelleq anglineghmini tuqullghughtaquq.
16	Piniqegkamni ugpeqaalgutemni, puughtesighpenasi.
17	Qamaglluteng pinilghiitlu, sallghwaaghhiilnguutlu tunusat qilagmeng pinguut. Tamaakut Atameng pinguut ulimaghistenganeng qamaglluni nighugem; allangughsigatuqlu, mamlegtestingigatuqlu.
18	Kiyaghneghem ellngan katam piyukelqaa, tuunaluta nutaghameng unguvalleghmeng ungipaakun ipapighqellghem. Tawaten pikaaguq, whangkuta megnunalleghpigaasqelluta ulimaaghyaggaghmineng.
19	Piniqegkamni ugpeqaalgutemni, neqamikluku una: tamaghhaghmi nagasukestaghluni piyaghqaaguq, akuziighaghtafqaamillu sakraagaghaghtafqaamillu,
20	qayughllak sakraam kayusiisigatiisi pinitun kiyaghtaalleghmun Kiyaghneghem piyukegkaanun.
21	Tamaaken apalluqluku pegteggu qamagtengngwaaghluku allaaghhiinaq seghleq atuqaqegkesi. Qusevegngaghpesi tuguklighteki Kiyaghneghem akuzitangi, piitesiighaqii ilugpesigun, qayughllak yuguliyaghqaqiisi unguvasighpesineng.
22	Nagataghesnaghpenaki Kiyaghneghem akuzitangi itupill atuqiteki. Puughtaqusi elpesineng katam nagataghesnaneghpesiki atuqegpenaki.
23	Yuuk nagataghesnaqumi Kiyaghneghem akuzitanganeng atuqegpenaki, taghneghaghqulghiistun ayuquq
24	tunuskumi tawaninginaq puygulleqaa natetuleni.
25	Kiyaghneghem elqughutngalghiit Liilightuusii itemutestiiqut yugneng. Yugem liinnaqumanginaqumiki taakut Liilightuusat, puygugpenaki atuqegkumiki Kiyaghneghem quyasaghqaqaa sallghakun tamaghhaan.
26	Yuuk sumeghtaghaqayuk ugpeqaghllaguniluni, naqam akuzitkesaghqaqenghilkemmineng akuzikayuk temngi puughtengnguuq ellmineng katam. Ugpellgha satngunghituq.
27	Kiyaghneghem Atamta pillghani yuuk ugpellepiilgukumi, kayusighyaghqaqii yaywaalitlu ugingighatlu seghleliinghata, nuqesaghqaaguqlu seghleghaneng nunam.
 
