1	Ukut latat Elder-meng pinguut Kiyaghneghem nakmikegkaanun aghnamun, avaqutaanunllu ipapigmeng piniqegkamnun. Ellnginaanghitunga piniqistezi, qamagllutengllu liisimakelghiit ipapighqelleghmeng piniqiisi,
2	qayughllak ipapighqelleq ilumnnilnguq. Taana ipapighqelleq ilumnnisaghqaaguq quunperugllak.
3	Kayusilleq, nangllegyulleq, nekeggmelleqlu whangkunnillequt kiyaghtengnguluta ipapighqelleghqunllu piniqelleghqunllu. Taakut Kiyaghneghmeng Atameng, Jesus Christ-amengllu, Atam Ighneghaneng pinguut.
4	Quyapigtekaagunga nagaqughluki ilangi avaqutaghten kiyaghtengnguniluki ipapighqelleghqun tawateghpigaq Atam qelellghatun whangkuta.
5	Aghnami, piimken piniqututelta. Taana nutaghaanghituq qelghuusaq latatkegkegka elpenun; qelghusaaguq ima piinlighyuggaalleghmeng.
6	Una piniqellghuuq, qaatkutelleq Kiyaghneghem qelghuusaanun. Qelghuusaq nagaquqaghsi piinlighyuwhaalleghmeng unanguuq: qamagllusi piniqullusi kiyaghtek.
7	Uglapiglleghhii puughtista nunami mingilluni ayuquq. Tamaakut yuget apeghnaanghitaat Jesus Christ-a yuguluni allgeqaaniluku qayughllak ugpeqigataat. Tawatelnguq yuuk puughtistenguuqlu, anguyakilghiinguuqlu Christ-ameng.
8	Enkaam kelengalusi, pegsaqunaan qepghaatkaghsi akileghtuusaghqaghsi qamaglluku allgeghsaghqaqaghsi.
9	Kitum alngunak qaasghuskumiki apeghtuusii Christ-am Kiyaghneq ellnganinneghituq. Iwernga kitum alngunak atuqumanginaqumiki apeghtuusii Christ-am, Atallu Ighneqlu ellnganituk.
10	Kitum alngunak apeghtughyaghtuqangisi atuqegpenaki Christ-am apeghtuusii, aqelqangllaghpenaan nalighmeng quyakegpenaan,
11	qayughllak kitum alngunak quyakegkumigu qepghalgusiqallghuughlleqaa seghleghmeng qepghaqaaneng.
12	Apeghyaghqaghllagughngaaghma elpesinun latatgun piyunghitanka. Iwernga sunanguq laalighfiklamsi, aleghquunnayaghtukut gginasaghquulluta, enkaam quyateghllagnayaghtukut.
13	Avaqutiita nakmikegkam aakaghpesi piniqiisinguq.
 
